stocks,mentions,audience,sentiment,outlier_flag,delta_flag
tsla,133,27738516.0,0.1645451127819549,0.13,0.0
spx,49,1465222.0,-0.02478775510204083,,0.0
rkt,35,8471753.0,0.07582857142857143,0.21,0.0
fubo,31,4541258.0,0.05390322580645161,0.1,0.0
jnj,30,13623016.0,0.10018333333333335,0.15,0.0
gme,27,13429914.0,0.16896666666666663,0.16,1.0
qqq,23,2901248.0,0.08788260869565218,0.12,0.0
amzn,23,11295791.0,-0.006395652173913041,,0.0
pac,20,5201900.0,0.09029000000000001,,0.0
sq,18,2180334.0,0.1958333333333333,,0.0
